"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"River Street Premier Petrol","82 River St","","Mattapan","MA","02126","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rj Smokes & Convenience","844 Blue Hill Ave","","Dorchester Center","MA","02124","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Roche Bros 121","8 Summer St","","Boston","MA","02110","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"Roche Bros Supermarkets Inc 115","1800 Centre St","","West Roxbury","MA","02132","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"Romerito Liquors Inc","168 Belgrade Ave","","Roslindale","MA","02131","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rosa Family Market","696 Blue Hill Ave","","Dorchester","MA","02121","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rosario Grocery","760 Washington St","","Dorchester Center","MA","02124","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rosas Tropical Market Inc","120 Washington St","","Dorchester","MA","02121","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rosedale Convenience","542 Washington St","","Dorchester Center","MA","02124","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Roslindale Farmers Market","4236 Washington St","","Roslindale","MA","02131","SUFFOLK","Farmers and Markets","","","USDA","Boston (City, 2020)"
"Roslindale Food Mart","4443 Washington St","","Roslindale","MA","02131","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Roslindale Market And Take Out","4140 Washington St","","Roslindale","MA","02131","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Roslindale Variety Store","4254 Washington St","","Roslindale","MA","02131","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Rotary Variety","309 Old Colony Ave","","South Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Round Table Urban Garden NAFMNP","7 Sterling Sq","","South Boston","MA","02127","SUFFOLK","Farmers and Markets","","","USDA","Boston (City, 2020)"
"Roxbury Market","2981 Washington St","","Roxbury","MA","02119","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Royal African Caribbean Supermarket","63b Fairmount Ave","","Hyde Park","MA","02136","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Ruggiero's Market","3345 Washington St","","Jamaica Plain","MA","02130","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"S S Market 1","1283 River St","","Hyde Park","MA","02136","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"S&h Fuel","931 Bennington St","","East Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"SCCHC Pharmacy","256 Harrison Ave","","Boston","MA","02111","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"SHAW'S SUPERMARKET 1208","246 Border St","","East Boston","MA","02128","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"SHAW'S SUPERMARKET 2579","1377 Hyde Park Ave","","Hyde Park","MA","02136","SUFFOLK","Supermarket","","","USDA","Boston (City, 2020)"
"SKB Food Mart","156 Washington St","","Dorchester","MA","02121","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Sams Market","500 River St","","Mattapan","MA","02126","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"San Juan Market","65 W Dedham St","","Boston","MA","02118","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"San Miguel Arcangel Market","317 Sumner St","","East Boston","MA","02128","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Sanchez Market","160 Bunker Hill St","","Charlestown","MA","02129","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Sandy's Market","1973 Columbus Ave","","Roxbury","MA","02119","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Sandy's Variety Store","378 Washington St","","Dorchester Center","MA","02124","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Saratoga Convenience","655 Saratoga St","","East Boston","MA","02128","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Saratoga Market","16 Trident St","","East Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Satya Swami Inc","95 Westland Ave","","Boston","MA","02115","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Saul Mache Mixe Store","1549 Blue Hill Ave","","Mattapan","MA","02126","SUFFOLK","Other","","","USDA","Boston (City, 2020)"
"Seaport Farmers Market 1","21 Stillings St","","Boston","MA","02210","SUFFOLK","Farmers and Markets","","","USDA","Boston (City, 2020)"
"Shawmut Grocery","614 Shawmut Ave","","Boston","MA","02118","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Sids Smoke Shop","1120 Washington St","","Boston","MA","02118","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Siena Farm South End","106 Waltham St","","Boston","MA","02118","SUFFOLK","Farmers and Markets","","","USDA","Boston (City, 2020)"
"Smoke Shop & Variety","666 Centre St","","Jamaica Plain","MA","02130","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Snax Express","60 South St","","Boston","MA","02111","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Sobrinos Market","416 Geneva Ave","","Dorchester","MA","02122","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"South Boston Market","626 Dorchester Avenue","Ste A","South Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"South Boston Market","636 Dorchester Ave","","South Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"South End Food Emporium","469 Columbus Ave","","Boston","MA","02116","SUFFOLK","Grocery Store","","","USDA","Boston (City, 2020)"
"Southie Gas","79 W Broadway","","South Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2423","710 Gallivan Blvd","","Dorchester Center","MA","02124","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2430","874 Dorchester Ave","","Dorchester","MA","02125","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2448","100 Brighton Ave","","Allston","MA","02134","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2490","5315 Washington St","","West Roxbury","MA","02132","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2509","151 Old Colony Ave","","Boston","MA","02127","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Speedway 2517","1779 Centre St","","West Roxbury","MA","02132","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Square Bite","38 Maverick Sq","","East Boston","MA","02128","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"St Peter Market","419 Adams St","","Dorchester","MA","02122","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
"Star 50 Convenience","303 Geneva Ave","","Dorchester","MA","02121","SUFFOLK","Convenience Store","","","USDA","Boston (City, 2020)"
