"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025100800","MA","25025100800","=""25025100800""","68.65","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025100900","MA","25025100900","=""25025100900""","101.38","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025101001","MA","25025101001","=""25025101001""","83.08","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025101002","MA","25025101002","=""25025101002""","43.27","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025101101","MA","25025101101","=""25025101101""","66.99","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025101102","MA","25025101102","=""25025101102""","41.23","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110104","MA","25025110104","=""25025110104""","70.64","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110105","MA","25025110105","=""25025110105""","135.15","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110106","MA","25025110106","=""25025110106""","96.88","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110201","MA","25025110201","=""25025110201""","62.35","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110301","MA","25025110301","=""25025110301""","95.52","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110401","MA","25025110401","=""25025110401""","86.71","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110403","MA","25025110403","=""25025110403""","117.99","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025110501","MA","25025110501","=""25025110501""","131.13","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
