"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025030301","MA","25025030301","=""25025030301""","23852.32","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025030302","MA","25025030302","=""25025030302""","12868.85","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025030400","MA","25025030400","=""25025030400""","60496.77","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025030500","MA","25025030500","=""25025030500""","30053.90","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040100","MA","25025040100","=""25025040100""","27104.95","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040200","MA","25025040200","=""25025040200""","29071.58","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040300","MA","25025040300","=""25025040300""","45277.71","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040401","MA","25025040401","=""25025040401""","16631.01","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040600","MA","25025040600","=""25025040600""","7193.44","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025040801","MA","25025040801","=""25025040801""","10856.41","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050101","MA","25025050101","=""25025050101""","43035.37","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050200","MA","25025050200","=""25025050200""","62899.91","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050300","MA","25025050300","=""25025050300""","25999.68","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050400","MA","25025050400","=""25025050400""","44615.66","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050500","MA","25025050500","=""25025050500""","17562.05","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050600","MA","25025050600","=""25025050600""","36546.95","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050700","MA","25025050700","=""25025050700""","42793.62","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025050901","MA","25025050901","=""25025050901""","16741.03","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025051000","MA","25025051000","=""25025051000""","12584.75","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025051101","MA","25025051101","=""25025051101""","13901.61","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025051200","MA","25025051200","=""25025051200""","20436.95","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060101","MA","25025060101","=""25025060101""","32354.72","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060200","MA","25025060200","=""25025060200""","34521.02","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060301","MA","25025060301","=""25025060301""","34423.11","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060400","MA","25025060400","=""25025060400""","34269.15","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060501","MA","25025060501","=""25025060501""","28155.55","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060601","MA","25025060601","=""25025060601""","33258.28","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060602","MA","25025060602","=""25025060602""","2391.51","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060603","MA","25025060603","=""25025060603""","11192.99","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060604","MA","25025060604","=""25025060604""","18993.29","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060700","MA","25025060700","=""25025060700""","36437.82","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025060800","MA","25025060800","=""25025060800""","34076.32","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061000","MA","25025061000","=""25025061000""","38011.46","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061101","MA","25025061101","=""25025061101""","40287.70","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061201","MA","25025061201","=""25025061201""","8037.09","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061202","MA","25025061202","=""25025061202""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061203","MA","25025061203","=""25025061203""","18533.88","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025061204","MA","25025061204","=""25025061204""","5899.54","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070102","MA","25025070102","=""25025070102""","54827.71","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070103","MA","25025070103","=""25025070103""","15574.22","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070104","MA","25025070104","=""25025070104""","8203.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070201","MA","25025070201","=""25025070201""","61408.71","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070202","MA","25025070202","=""25025070202""","59998.55","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070301","MA","25025070301","=""25025070301""","48066.50","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070302","MA","25025070302","=""25025070302""","23862.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070402","MA","25025070402","=""25025070402""","35005.92","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070501","MA","25025070501","=""25025070501""","45259.08","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070502","MA","25025070502","=""25025070502""","54749.57","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070600","MA","25025070600","=""25025070600""","45614.72","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070700","MA","25025070700","=""25025070700""","39861.19","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070801","MA","25025070801","=""25025070801""","48555.60","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070802","MA","25025070802","=""25025070802""","44783.26","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070901","MA","25025070901","=""25025070901""","56924.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025070902","MA","25025070902","=""25025070902""","53097.55","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025071101","MA","25025071101","=""25025071101""","27109.50","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025071201","MA","25025071201","=""25025071201""","26919.04","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080100","MA","25025080100","=""25025080100""","6541.42","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080300","MA","25025080300","=""25025080300""","19894.60","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080401","MA","25025080401","=""25025080401""","18287.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080500","MA","25025080500","=""25025080500""","36980.84","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080601","MA","25025080601","=""25025080601""","16826.52","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080801","MA","25025080801","=""25025080801""","31408.60","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025080900","MA","25025080900","=""25025080900""","34534.29","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081001","MA","25025081001","=""25025081001""","24201.42","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081101","MA","25025081101","=""25025081101""","34237.84","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081102","MA","25025081102","=""25025081102""","20170.44","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081200","MA","25025081200","=""25025081200""","33887.38","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081301","MA","25025081301","=""25025081301""","28959.54","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081302","MA","25025081302","=""25025081302""","16914.38","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081400","MA","25025081400","=""25025081400""","14367.47","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081500","MA","25025081500","=""25025081500""","19939.47","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081700","MA","25025081700","=""25025081700""","15019.96","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081800","MA","25025081800","=""25025081800""","22892.25","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025081900","MA","25025081900","=""25025081900""","19745.53","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025082000","MA","25025082000","=""25025082000""","22343.01","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025082100","MA","25025082100","=""25025082100""","28319.62","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090100","MA","25025090100","=""25025090100""","32038.43","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090200","MA","25025090200","=""25025090200""","29243.36","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090300","MA","25025090300","=""25025090300""","23789.58","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090400","MA","25025090400","=""25025090400""","22217.89","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090600","MA","25025090600","=""25025090600""","19051.46","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090700","MA","25025090700","=""25025090700""","11011.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025090901","MA","25025090901","=""25025090901""","6558.80","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091001","MA","25025091001","=""25025091001""","7346.82","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091100","MA","25025091100","=""25025091100""","28714.15","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091200","MA","25025091200","=""25025091200""","24450.37","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091300","MA","25025091300","=""25025091300""","26505.55","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091400","MA","25025091400","=""25025091400""","25595.46","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091500","MA","25025091500","=""25025091500""","23011.86","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025091600","MA","25025091600","=""25025091600""","21147.79","2019-2023","2022","Census","Boston (City, 2020)"
