businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Crisp By Stats,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2025-08-18 18:37:37.67+00,6033613736,423633,42.36553349531547,-71.06185622592876
CRISPY CREPES CAFE,,714 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2016-01-08 17:42:34.633+00,6178599585,157171,42.34957375170665,-71.10565820916442
Crispy Dough Pizzeria,,1512 TREMONT,Mission Hill/,MA,02120,Active,FS,Eating & Drinking,2012-09-25 17:58:13+00,6174457799,0,,
CROKE PARK,,268 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:34:30+00,6172686205,155852,42.339275770519656,-71.05119113796478
Crown Fried Chicken,,344 Warren,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2022-11-28 16:07:02.35+00,6174451414,352492,42.318980000267075,-71.0811300008356
Crumbl Cookies,,21 District,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2024-05-28 19:47:25.557+00,8572712003,423054,42.32560969076175,-71.06207719722238
Crush Pizza,,982 Bennington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2023-06-12 15:26:25.203+00,,162032,42.38665339810077,-71.00756344231228
Crystal Spoons,,1950 Washington,Roxbury,MA,02118,Active,FS,Eating & Drinking,2023-04-04 14:24:25.463+00,,449906,42.33408650996489,-71.07950854220118
Cumin Club Indian Kitchen,,100 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2024-10-10 14:43:40.857+00,7736730664,342934,42.354465446258,-71.05529865229609
Cunard Tavern,,24 Orleans,East Boston,MA,02128,Active,FS,Eating & Drinking,2016-07-15 13:54:56.93+00,6175677609,393468,42.36733324399819,-71.03881313997199
Cuppa Coffee,,275 Albany,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2014-11-26 16:09:49.92+00,5089306297,1536,42.34362534083521,-71.06265928430781
CUPPACOFFEE,,1 Merrimac,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2011-09-27 14:32:18+00,5089306297,342817,42.36318781367069,-71.05979518944268
Currentea,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2025-07-08 18:52:38.407+00,8572598882,423633,42.36553349531547,-71.06185622592876
Cusser's Roast Beef and Seafood,,201 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2020-09-16 19:47:03.893+00,6179093144,340960,42.34486239691058,-71.10160474147757
Dacoopa's Pizza,,474 Saratoga,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2023-12-12 19:40:25.047+00,,351544,42.38014000040847,-71.02729000121003
Daily Catch,,323 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:02+00,6177192588,352164,42.364050000249875,-71.0539900010696
Daiquiris & Daisies,,100 High,Boston,MA,02110,Active,FS,Eating & Drinking,2019-10-04 14:12:37.343+00,6172094627,342934,42.354465446258,-71.05529865229609
Dalmoros Fresh Pasta To Go,,200 Faneuil Hall Marketplace,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2024-07-23 16:54:26.18+00,5708149963,156093,42.36019981607993,-71.05479820374326
Da Long Yi Hot Pot,,137 Brighton,Allston,MA,02134,Active,FS,Eating & Drinking,2021-08-30 15:50:23.39+00,,155840,42.353116635475125,-71.13138157156354
Dana Farber Cancer Institute Cafeteria,,450 Brookline,Boston,MA,02215,Active,FS,Eating & Drinking,2010-07-22 13:41:51+00,6176323186,,,
